21-10-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,19613.00
21-10-2024,TOUCH SAFE SURGICAL,339.00
21-10-2024,SURAT SURGICAL (P),150.00
22-10-2024,KAVYA DISTRIBUTORS,6608.00
22-10-2024,FUSION DISTRIBUTORS(P),5477.00
23-10-2024,ASTRID HEALTHCARE LLP,50400.00
23-10-2024,TOUCH SAFE SURGICAL,1792.00
23-10-2024,ASTRID HEALTHCARE LLP,8400.00
23-10-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,44500.00
24-10-2024,TOUCH SAFE SURGICAL,6608.00
25-10-2024,FUSION DISTRIBUTORS(P),6476.00
25-10-2024,TOONBRANDS SOLTUIONS PVT LTD,25536.00
25-10-2024,HADRIANA PRIVATE LIMITED,10906.00
25-10-2024,HADRIANA PRIVATE LIMITED,1672.00
26-10-2024,KARE SURGICAL(P),14306.00
26-10-2024,PATEL PHARMA(P),2146.00
26-10-2024,KAVYA DISTRIBUTORS,6893.00
26-10-2024,ASTRID HEALTHCARE LLP,2.00
26-10-2024,HADRIANA PRIVATE LIMITED,2884.00
28-10-2024,KAPOOR MEDICAL SOLUTION,75936.00
28-10-2024,TOONBRANDS SOLTUIONS PVT LTD,170240.00
28-10-2024,HADRIANA PRIVATE LIMITED,3842.00
28-10-2024,DARSHAN TRADERS(P),2303.00
28-10-2024,MAA CHANDRA PHARMA(P),13189.00
28-10-2024,MITANSH SURGICAL (P),551.00
28-10-2024,SWISS MEDICAL STORES(P),3494.00
29-10-2024,FUSION DISTRIBUTORS(P),10510.00
29-10-2024,PROMEA THERAPEUTICS PRIVATE LIMITED,728894.00
30-10-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,44745.00
30-10-2024,TOUCH SAFE SURGICAL,1344.00
30-10-2024,HADRIANA PRIVATE LIMITED,12655.00
30-10-2024,SOLLAR BIO LFE,168.00
31-10-2024,PRANAV ENTERPRISE,4838.00
31-10-2024,FUSION DISTRIBUTORS(P),8860.00
08-11-2024,TOONBRANDS SOLTUIONS PVT LTD,85120.00
09-11-2024,SHREE HARI SURGICAL(P),7542.00
09-11-2024,FUSION DISTRIBUTORS(P),5994.00
11-11-2024,BIO-TECH DISTRIBUTORS(P),11370.00
11-11-2024,TOONBRANDS SOLTUIONS PVT LTD,34048.00
